Product Name,Image URL,Price
Ooma HD3 1-Handset DECT 6.0 Cordless Phone - Black,https://multimedia.bbycastatic.ca/multimedia/products/250x250/176/17650/17650639.jpg,"$1,179.99"
Open Box - Samsung Galaxy S20 FE 5G 128GB Smartphone - Cloud Navy - Unlocked,https://multimedia.bbycastatic.ca/multimedia/products/250x250/123/12385/12385047.jpg,$60.84
Apple iPhone 15 128GB - Black - Unlocked,https://multimedia.bbycastatic.ca/multimedia/products/250x250/153/15336/15336371.jpeg,$589.99
Ooma HD3 1-Handset DECT 6.0 Cordless Phone - Black,https://multimedia.bbycastatic.ca/multimedia/products/250x250/176/17650/17650639.jpg,"$1,179.99"
Open Box - Samsung Galaxy S20 FE 5G 128GB Smartphone - Cloud Navy - Unlocked,https://multimedia.bbycastatic.ca/multimedia/products/250x250/123/12385/12385047.jpg,$60.84
Apple iPhone 15 128GB - Black - Unlocked,https://multimedia.bbycastatic.ca/multimedia/products/250x250/153/15336/15336371.jpeg,$589.99
Ooma HD3 1-Handset DECT 6.0 Cordless Phone - Black,https://multimedia.bbycastatic.ca/multimedia/products/250x250/176/17650/17650639.jpg,"$1,179.99"
Open Box - Samsung Galaxy S20 FE 5G 128GB Smartphone - Cloud Navy - Unlocked,https://multimedia.bbycastatic.ca/multimedia/products/250x250/123/12385/12385047.jpg,$60.84
Apple iPhone 15 128GB - Black - Unlocked,https://multimedia.bbycastatic.ca/multimedia/products/250x250/153/15336/15336371.jpeg,$589.99
Ooma HD3 1-Handset DECT 6.0 Cordless Phone - Black,https://multimedia.bbycastatic.ca/multimedia/products/250x250/176/17650/17650639.jpg,"$1,179.99"
Open Box - Samsung Galaxy S20 FE 5G 128GB Smartphone - Cloud Navy - Unlocked,https://multimedia.bbycastatic.ca/multimedia/products/250x250/123/12385/12385047.jpg,$60.84
Apple iPhone 15 128GB - Black - Unlocked,https://multimedia.bbycastatic.ca/multimedia/products/250x250/153/15336/15336371.jpeg,$589.99
